run,fold,AUPRC,AUROC,Accuracy,Precision,Recall,F1_Score
1,1,0.33860863916625294,0.849862258953168,0.7367088607594937,0.20491803278688525,0.78125,0.3246753246753247
1,2,0.4013736693109841,0.8264462809917356,0.7367088607594937,0.20491803278688525,0.78125,0.3246753246753247
1,3,0.31100497251355563,0.8478822314049587,0.7189873417721518,0.2074074074074074,0.875,0.3353293413173652
1,4,0.2381933483760109,0.7957988980716253,0.7316455696202532,0.19672131147540983,0.75,0.3116883116883117
1,5,0.32467636913097897,0.8378099173553719,0.6962025316455697,0.19014084507042253,0.84375,0.3103448275862069
2,1,0.2264698361049487,0.7892561983471074,0.7037974683544304,0.17054263565891473,0.6875,0.2732919254658385
2,2,0.3722399155869367,0.8197314049586777,0.660759493670886,0.16883116883116883,0.8125,0.2795698924731183
2,3,0.3557392206607372,0.8268767217630855,0.7012658227848101,0.18382352941176472,0.78125,0.2976190476190476
2,4,0.3067447974029506,0.8632920110192838,0.759493670886076,0.22123893805309736,0.78125,0.3448275862068965
2,5,0.28980739295185276,0.846763085399449,0.6962025316455697,0.19863013698630136,0.90625,0.3258426966292135
3,1,0.28632878031738446,0.8486570247933884,0.7822784810126582,0.2403846153846154,0.78125,0.36764705882352944
3,2,0.306724369620646,0.8044938016528926,0.739240506329114,0.18584070796460178,0.65625,0.28965517241379307
3,3,0.28080487886496147,0.8041494490358126,0.7316455696202532,0.19672131147540983,0.75,0.3116883116883117
3,4,0.23399330996964632,0.8053546831955922,0.739240506329114,0.2066115702479339,0.78125,0.32679738562091504
3,5,0.41805142646105475,0.8749139118457301,0.7265822784810126,0.203125,0.8125,0.325
4,1,0.18809369026977926,0.7778925619834711,0.7316455696202532,0.1864406779661017,0.6875,0.29333333333333333
4,2,0.455612015880881,0.8549414600550964,0.7316455696202532,0.20634920634920634,0.8125,0.3291139240506329
4,3,0.24123135555655575,0.8305785123966942,0.7417721518987341,0.20833333333333334,0.78125,0.32894736842105265
4,4,0.2973863374012744,0.8505509641873279,0.7341772151898734,0.208,0.8125,0.33121019108280253
4,5,0.39960155813092346,0.8428891184573003,0.7113924050632912,0.19402985074626866,0.8125,0.3132530120481928
5,1,0.2672140657867763,0.8618285123966942,0.7240506329113924,0.20610687022900764,0.84375,0.33128834355828224
5,2,0.38447281181345966,0.8502066115702479,0.7417721518987341,0.21311475409836064,0.8125,0.3376623376623376
5,3,0.46853452018035613,0.8578684573002755,0.739240506329114,0.2204724409448819,0.875,0.3522012578616352
5,4,0.2876693458831149,0.7760847107438016,0.7164556962025317,0.16666666666666666,0.625,0.2631578947368421
5,5,0.2244485253626857,0.8210227272727273,0.6531645569620254,0.17391304347826086,0.875,0.2901554404145078
6,1,0.3135568691942954,0.8415117079889807,0.7240506329113924,0.18699186991869918,0.71875,0.2967741935483871
6,2,0.31716193066890236,0.8232610192837465,0.7063291139240506,0.19117647058823528,0.8125,0.30952380952380953
6,3,0.2889175522733099,0.8246384297520661,0.7088607594936709,0.1925925925925926,0.8125,0.311377245508982
6,4,0.3688337352145908,0.8762913223140496,0.7721518987341772,0.23636363636363636,0.8125,0.36619718309859156
6,5,0.2664158676824148,0.7988119834710743,0.6708860759493671,0.17333333333333334,0.8125,0.2857142857142857
7,1,0.28908495181324373,0.8076790633608815,0.7164556962025317,0.19230769230769232,0.78125,0.308641975308642
7,2,0.2782489228881284,0.8130165289256198,0.6759493670886076,0.17567567567567569,0.8125,0.2888888888888889
7,3,0.31420712431020814,0.8707816804407713,0.7189873417721518,0.2116788321167883,0.90625,0.3431952662721893
7,4,0.30444817396353896,0.7980371900826446,0.7265822784810126,0.1984126984126984,0.78125,0.31645569620253167
7,5,0.34276974758059614,0.853219696969697,0.7139240506329114,0.2,0.84375,0.3233532934131737
8,1,0.33072981271867624,0.849862258953168,0.769620253164557,0.24347826086956523,0.875,0.380952380952381
8,2,0.2939621688317527,0.8235192837465565,0.7063291139240506,0.19117647058823528,0.8125,0.30952380952380953
8,3,0.3183205252569281,0.8440943526170799,0.7645569620253164,0.22522522522522523,0.78125,0.3496503496503497
8,4,0.2739459532506291,0.7774621212121212,0.7113924050632912,0.1746031746031746,0.6875,0.27848101265822783
8,5,0.3513445076388308,0.8330750688705234,0.7139240506329114,0.19548872180451127,0.8125,0.3151515151515151
9,1,0.27153210802060623,0.7724690082644629,0.6354430379746835,0.14102564102564102,0.6875,0.2340425531914894
9,2,0.20909202569966429,0.8191287878787878,0.7139240506329114,0.19548872180451127,0.8125,0.3151515151515151
9,3,0.3007012461308279,0.8409090909090908,0.7088607594936709,0.1925925925925926,0.8125,0.311377245508982
9,4,0.4229542074246659,0.8824035812672176,0.7367088607594937,0.21875,0.875,0.35
9,5,0.3580510420258495,0.8429752066115702,0.779746835443038,0.23809523809523808,0.78125,0.364963503649635
10,1,0.2599990087903692,0.824982782369146,0.7620253164556962,0.21818181818181817,0.75,0.3380281690140845
10,2,0.3797432575841572,0.8475378787878788,0.7215189873417721,0.2,0.8125,0.3209876543209877
10,3,0.2578129329803042,0.8408230027548209,0.7215189873417721,0.2,0.8125,0.3209876543209877
10,4,0.3192786771117445,0.8610537190082646,0.7215189873417721,0.21323529411764705,0.90625,0.34523809523809523
